model,dataset,bins,accum_t_ms,mAP
RVT,gen1,1,5,0.3609
RVT,gen1,1,10,0.3975
RVT,gen1,1,20,0.4259
RVT,gen1,1,50,0.4430
RVT,gen1,1,100,0.4454
RVT,gen1,10,5,0.3392
RVT,gen1,10,10,0.3804
RVT,gen1,10,20,0.4175
RVT,gen1,10,50,0.4356
RVT,gen1,10,100,0.4485
RVT,gen4,1,5,0.3324
RVT,gen4,1,10,0.3620
RVT,gen4,1,20,0.3867
RVT,gen4,1,50,0.4032
RVT,gen4,1,100,0.3971
RVT,gen4,10,5,0.3310
RVT,gen4,10,10,0.3498
RVT,gen4,10,20,0.3818
RVT,gen4,10,50,0.3946
RVT,gen4,10,100,0.4023
RVT,dsec,1,5,0.5095
RVT,dsec,1,10,0.5304
RVT,dsec,1,20,0.5628
RVT,dsec,1,50,0.5688
RVT,dsec,1,100,0.5155
RVT,dsec,10,5,0.5107
RVT,dsec,10,10,0.5477
RVT,dsec,10,20,0.5838
RVT,dsec,10,50,0.5877
RVT,dsec,10,100,0.5856
YOLOX,gen1,1,10,0.2622
YOLOX,gen1,1,5,0.3053
YOLOX,gen1,1,20,0.3426
YOLOX,gen1,1,50,0.3771
YOLOX,gen1,1,100,0.3806
YOLOX,gen1,10,5,0.2515
YOLOX,gen1,10,10,0.3018
YOLOX,gen1,10,20,0.3450
YOLOX,gen1,10,50,0.3757
YOLOX,gen1,10,100,0.3931
YOLOX,gen4,1,5,0.2351
YOLOX,gen4,1,10,0.2658
YOLOX,gen4,1,20,0.2932
YOLOX,gen4,1,50,0.3138
YOLOX,gen4,1,100,0.3098
YOLOX,gen4,10,5,0.2376
YOLOX,gen4,10,10,0.2672
YOLOX,gen4,10,20,0.2939
YOLOX,gen4,10,50,0.3164
YOLOX,gen4,10,100,0.3204
YOLOX,dsec,1,5,0.4497
YOLOX,dsec,1,10,0.4781
YOLOX,dsec,1,20,0.5235
YOLOX,dsec,1,50,0.4837
YOLOX,dsec,1,100,0.4535
YOLOX,dsec,10,5,0.4688
YOLOX,dsec,10,10,0.4775
YOLOX,dsec,10,20,0.4871
YOLOX,dsec,10,50,0.5299
YOLOX,dsec,10,100,0.5274
YOLOX-LSTM,gen1,1,10,0.3634
YOLOX-LSTM,gen1,1,5,0.4077
YOLOX-LSTM,gen1,1,20,0.4392
YOLOX-LSTM,gen1,1,50,0.4424
YOLOX-LSTM,gen1,1,100,0.4547
YOLOX-LSTM,gen1,10,5,0.3704
YOLOX-LSTM,gen1,10,10,0.4107
YOLOX-LSTM,gen1,10,20,0.4399
YOLOX-LSTM,gen1,10,50,0.4695
YOLOX-LSTM,gen1,10,100,0.4686
YOLOX-LSTM,gen4,1,5,0.3515
YOLOX-LSTM,gen4,1,10,0.3724
YOLOX-LSTM,gen4,1,20,0.3958
YOLOX-LSTM,gen4,1,50,0.4107
YOLOX-LSTM,gen4,1,100,0.3950
YOLOX-LSTM,gen4,10,5,0.3494
YOLOX-LSTM,gen4,10,10,0.3711
YOLOX-LSTM,gen4,10,20,0.3760
YOLOX-LSTM,gen4,10,50,0.3934
YOLOX-LSTM,gen4,10,100,0.3944
YOLOX-LSTM,dsec,1,5,0.5859
YOLOX-LSTM,dsec,1,10,0.5932
YOLOX-LSTM,dsec,1,20,0.6244
YOLOX-LSTM,dsec,1,50,0.5662
YOLOX-LSTM,dsec,1,100,0.5483
YOLOX-LSTM,dsec,10,5,0.5644
YOLOX-LSTM,dsec,10,10,0.5889
YOLOX-LSTM,dsec,10,20,0.6025
YOLOX-LSTM,dsec,10,50,0.6204
YOLOX-LSTM,dsec,10,100,0.6179
RVT-Track,gen4,1,5,0.3421
RVT-Track,gen4,1,10,0.3614
RVT-Track,gen4,1,20,0.381
RVT-Track,gen4,1,50,0.3868
RVT-Track,gen4,1,100,0.3941
RVT-Track,gen4,10,5,0.3305
RVT-Track,gen4,10,10,0.3591
RVT-Track,gen4,10,20,0.3836
RVT-Track,gen4,10,50,0.3862
RVT-Track,gen4,10,100,0.4073
